lolibejarano,2019-10-15 23:50:35,,RT @pablocast13: Estaría bien que le preguntara a Errejón por la beca en negro que cobró de la Universidad de Málaga por un trabajo que nun…
MafaldaVnzl,2019-10-15 23:50:27,La realidad,"RT @vargasotero: #ErrejónEH Pablo, preguntale por que cobraba de la universidad y no iba y no aparecia ni por alli. Igual que le preguntast…"
MafaldaVnzl,2019-10-15 23:50:18,La realidad,"RT @MariaJamardoC: El candidato de Más País hablando de creación de empleo y economía, sin tener ni la más remota idea de creación de emple…"
FacundinoLeal3,2019-10-15 23:50:11,,"RT @abc_es: Íñigo Errejón: «No apoyaré a Pedro Sánchez si aplica el 155 en Cataluña, no hay necesidad» #ErrejónEH https://t.co/nSetCAwbbn"
MafaldaVnzl,2019-10-15 23:49:51,La realidad,"RT @SergiLom03: Pablo Motos no le ha preguntado a su ""excelentísimo invitado"" por esto en #ErrejonEH, y ni os molestéis en que se lo pregun…"
epirpe,2019-10-15 23:49:30,"Madrid, España","RT @MariaJamardoC: El candidato de Más País hablando de creación de empleo y economía, sin tener ni la más remota idea de creación de emple…"
Kamchatka_H,2019-10-15 23:49:27,España,RT @LinaZC: Un hombre que prioriza su país y quiere que le vaya bien a los/as españoles/as antes que a su partido y teniendo que acordar co…
ebiv11521,2019-10-15 23:49:18,,"RT @MariaJamardoC: El candidato de Más País hablando de creación de empleo y economía, sin tener ni la más remota idea de creación de emple…"
adrianestudillo,2019-10-15 23:48:33,"Sevilla, España","RT @MasPais_Es: 🎥Necesitamos política útil, aquella que es capaz de llegar a acuerdos, incluso con la gente que no piensa exactamente igual…"
forofilla,2019-10-15 23:48:27,,RT @COPE: Errejón se muestra a favor de los indultos y en contra del 155 en 'El Hormiguero' #ErrejonEH https://t.co/YkMQzzn5dm
LauraGilita,2019-10-15 23:48:05,,"RT @Atlante_85: Por fin se hablan de medidas para q España sea potencia en innovación, empleo y conciliación familiar. Enhorabuena!! @ierre…"
LlopVaquer,2019-10-15 23:47:39,"Tarragona, España","RT @MariaJamardoC: ""En Venezuela algunas libertades se respetan porque la oposición da ruedas de prensa y eso en las dictaduras no pasa. Pe…"
LlopVaquer,2019-10-15 23:47:26,"Tarragona, España","RT @vargasotero: #ErrejónEH Pablo, preguntale por que cobraba de la universidad y no iba y no aparecia ni por alli. Igual que le preguntast…"
ENDIKA59,2019-10-15 23:47:22,Leganes,"RT @MarcelaSimonutt: Soluciones de fondo, proyecto de país inclusivo, verde y feminista, don de gente, solvencia radical y amabilidad. ¡Que…"
LlopVaquer,2019-10-15 23:47:18,"Tarragona, España",RT @Javi_alm: Hoy parece que a Pablo Motos no le toca justificar el llevar al programa a un comunista lleno de odio como tantos otros. #Err…
LlopVaquer,2019-10-15 23:47:10,"Tarragona, España","RT @MariaJamardoC: ""Fumé porros de chaval, como todo el mundo. Pero yo soy más de salado que de dulce"", Errejón dixit. Pues como todo el mu…"
ENDIKA59,2019-10-15 23:47:05,Leganes,RT @EmilioDelgadoOr: Me parece bien que haya quien busque políticos que tensionen. Yo a estas alturas prefiero gente que tenga ideas claras…
